#  Fresno, California Year-to-Date Average Temperature 
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
194801,49.7
194802,48.7
194803,49.6
194804,51.8
194805,54.3
194806,57.6
194807,60.6
194808,62.7
194809,63.9
194810,63.8
194811,62.6
194812,61
194901,37.4
194902,41.5
194903,45.3
194904,49.9
194905,53.4
194906,57.3
194907,60.7
194908,62.6
194909,64
194910,63.8
194911,63.3
194912,61.7
195001,42.8
195002,47.3
195003,49.4
195004,52.9
195005,56.1
195006,58.9
195007,62.3
195008,64.5
195009,65.4
195010,65.5
195011,64.8
195012,63.7
195101,45.7
195102,48
195103,49.9
195104,52.8
195105,56
195106,59.1
195107,62
195108,64
195109,65.3
195110,65.1
195111,64.2
195112,62.6
195201,45.4
195202,47.8
195203,48.6
195204,51.7
195205,55.4
195206,58
195207,61.5
195208,63.7
195209,65.1
195210,65.5
195211,64.3
195212,62.9
195301,50
195302,49.6
195303,51.2
195304,53.3
195305,55.1
195306,57.8
195307,61.4
195308,63.3
195309,64.7
195310,64.5
195311,63.6
195312,62.1
195401,46.5
195402,48.2
195403,49.5
195404,53.2
195405,56.6
195406,59.1
195407,62.4
195408,64
195409,64.8
195410,64.7
195411,63.6
195412,61.9
195501,41.7
195502,44.6
195503,47.7
195504,49.6
195505,52.9
195506,56.2
195507,59.1
195508,61.8
195509,63.2
195510,63.4
195511,62.3
195512,61.3
195601,48.3
195602,47
195603,49.3
195604,52
195605,55
195606,58.3
195607,61.4
195608,63.3
195609,64.6
195610,64.3
195611,63.3
195612,61.7
195701,42.6
195702,48.1
195703,50.5
195704,53.1
195705,55.6
195706,59.2
195707,62.3
195708,64.1
195709,65.2
195710,65
195711,63.8
195712,62.3
195801,46.6
195802,50.3
195803,50.9
195804,53
195805,56.5
195806,59.3
195807,62.2
195808,64.9
195809,66
195810,66.4
195811,65.3
195812,64
195901,49.1
195902,49.5
195903,52.3
195904,55.7
195905,57.7
195906,60.8
195907,64.1
195908,65.9
195909,66.5
195910,66.6
195911,65.5
195912,63.9
196001,47
196002,48.4
196003,51.3
196004,53.6
196005,56.2
196006,60.2
196007,63.5
196008,65.4
196009,66.5
196010,66.2
196011,64.9
196012,63.1
196101,43.1
196102,47.3
196103,49.3
196104,52.3
196105,54.7
196106,58.7
196107,62.1
196108,64.5
196109,65.3
196110,65.2
196111,64
196112,62.3
196201,41.4
196202,44.9
196203,47.3
196204,51.6
196205,54.3
196206,57.9
196207,61.2
196208,63.4
196209,64.7
196210,64.6
196211,63.7
196212,62.4
196301,42.2
196302,49.3
196303,50.6
196304,52
196305,55.1
196306,58.1
196307,61
196308,63.2
196309,64.7
196310,64.7
196311,63.6
196312,61.6
196401,43.8
196402,45.6
196403,47.5
196404,50.3
196405,53.2
196406,56.6
196407,60.1
196408,62.4
196409,63.4
196410,63.9
196411,62.7
196412,61.6
196501,46.3
196502,47.9
196503,50.5
196504,53
196505,55.9
196506,58.5
196507,61.4
196508,63.6
196509,64.1
196510,64.3
196511,63.4
196512,61.6
196601,43.4
196602,45.3
196603,49
196604,53.1
196605,56.7
196606,59.9
196607,62.5
196608,64.8
196609,65.7
196610,65.6
196611,64.8
196612,63.2
196701,46
196702,47.5
196703,49.8
196704,50.5
196705,54.1
196706,57.5
196707,61.2
196708,64
196709,65.5
196710,65.6
196711,64.8
196712,62.9
196801,44.8
196802,50.3
196803,52.1
196804,54.5
196805,57.2
196806,60.7
196807,63.8
196808,65.4
196809,66.4
196810,66.1
196811,64.8
196812,63
196901,44.8
196902,46.2
196903,48.5
196904,51.3
196905,55.1
196906,58
196907,61.3
196908,63.6
196909,65
196910,64.4
196911,63.4
196912,62
197001,49.1
197002,50.9
197003,52.4
197004,53.5
197005,57
197006,60.2
197007,63.5
197008,65.6
197009,66.4
197010,66.1
197011,65.1
197012,63.6
197101,45.6
197102,46.6
197103,49.2
197104,51.7
197105,54.2
197106,57.5
197107,61
197108,63.5
197109,64.6
197110,64.3
197111,63
197112,61.3
197201,40.2
197202,46.1
197203,50.9
197204,53.3
197205,56.6
197206,60
197207,63
197208,65.1
197209,65.8
197210,65.4
197211,64
197212,62
197301,44.7
197302,48.1
197303,48.7
197304,51.8
197305,55.9
197306,59.6
197307,62.5
197308,64.5
197309,65.3
197310,65
197311,63.9
197312,62.5
197401,47.5
197402,48.1
197403,50.7
197404,53
197405,56.2
197406,59.7
197407,62.7
197408,64.7
197409,66.1
197410,66.1
197411,64.9
197412,63.1
197501,43.1
197502,46.3
197503,48.3
197504,49.8
197505,53.6
197506,57.2
197507,60.3
197508,62.5
197509,64
197510,63.8
197511,62.7
197512,61.2
197601,45.9
197602,48.5
197603,50.2
197604,52
197605,55.8
197606,58.9
197607,62
197608,63.5
197609,64.6
197610,64.8
197611,63.9
197612,62.4
197701,43.3
197702,47.9
197703,49.1
197704,52.9
197705,54.9
197706,58.9
197707,61.9
197708,64.2
197709,65.1
197710,65.2
197711,64.1
197712,63
197801,50.4
197802,51
197803,53.7
197804,54.8
197805,57.6
197806,60.6
197807,63.5
197808,65.6
197809,66.3
197810,66.6
197811,65.2
197812,63.2
197901,46
197902,48.2
197903,50.9
197904,53.6
197905,56.9
197906,60.3
197907,63.3
197908,65.2
197909,66.7
197910,66.7
197911,65.4
197912,63.8
198001,48.4
198002,50.6
198003,51.3
198004,53.7
198005,56.2
198006,58.9
198007,62.3
198008,64.5
198009,65.6
198010,65.8
198011,64.7
198012,63.1
198101,46.9
198102,49
198103,50.8
198104,53.7
198105,56.8
198106,60.8
198107,63.9
198108,65.7
198109,66.9
198110,66.4
198111,65.4
198112,64
198201,43.1
198202,47.6
198203,49.5
198204,51.7
198205,55.2
198206,58.1
198207,61.2
198208,63.3
198209,64.3
198210,64.3
198211,63
198212,61.5
198301,44.1
198302,48.4
198303,50.7
198304,52.3
198305,55.5
198306,58.7
198307,61.4
198308,63.9
198309,65.3
198310,65.5
198311,64.5
198312,63.2
198401,47
198402,48.6
198403,51.7
198404,53.7
198405,57.4
198406,60.4
198407,63.9
198408,66.1
198409,67.5
198410,66.9
198411,65.6
198412,63.8
198501,42
198502,45.9
198503,47.8
198504,52.3
198505,55.4
198506,59.6
198507,63.2
198508,65.2
198509,65.8
198510,65.6
198511,64.3
198512,62.4
198601,52.2
198602,53.2
198603,55.1
198604,56.6
198605,59.3
198606,62.4
198607,65
198608,67.2
198609,67.5
198610,67.3
198611,66.2
198612,64.5
198701,43.9
198702,47.6
198703,49.8
198704,53.9
198705,57.3
198706,60.7
198707,63
198708,65
198709,66.1
198710,66.5
198711,65.1
198712,63.3
198801,45.3
198802,48.4
198803,51
198804,53.5
198805,56.1
198806,59.2
198807,62.9
198808,65.1
198809,66.3
198810,66.4
198811,65.3
198812,63.5
198901,42.2
198902,45.2
198903,49.2
198904,53.6
198905,56.6
198906,59.9
198907,63.1
198908,65
198909,65.9
198910,65.8
198911,64.7
198912,62.9
199001,44.9
199002,46.1
199003,49.6
199004,53.5
199005,56.3
199006,59.6
199007,63
199008,65.1
199009,66.2
199010,66.3
199011,65
199012,63
199101,46.3
199102,50.7
199103,50.8
199104,52.8
199105,55.3
199106,58.4
199107,62
199108,64
199109,65.7
199110,66.1
199111,65.1
199112,63.5
199201,42
199202,48.5
199203,51.7
199204,55.3
199205,59.3
199206,62.2
199207,64.8
199208,67
199209,68
199210,68
199211,66.7
199212,64.9
199301,46.5
199302,48.9
199303,52.4
199304,54.6
199305,57.5
199306,60.4
199307,63.2
199308,65.2
199309,66.3
199310,66.3
199311,65.2
199312,63.5
199401,46.3
199402,47.8
199403,51.4
199404,54.2
199405,56.9
199406,60.3
199407,63.5
199408,65.7
199409,66.7
199410,66.5
199411,64.7
199412,63.1
199501,51.3
199502,52.4
199503,53.4
199504,55.1
199505,57.2
199506,59.7
199507,62.6
199508,65
199509,66.3
199510,66.3
199511,65.6
199512,64.3
199601,48.1
199602,51.1
199603,53.1
199604,55.7
199605,58.5
199606,61.7
199607,65
199608,67.3
199609,68.1
199610,67.7
199611,66.4
199612,65
199701,48.5
199702,49.3
199703,52.8
199704,55.4
199705,59.4
199706,62.1
199707,64.8
199708,66.8
199709,67.9
199710,67.5
199711,66.5
199712,64.7
199801,48.9
199802,49.4
199803,51.4
199804,53.2
199805,55
199806,57.7
199807,61.1
199808,64
199809,65.3
199810,65
199811,63.9
199812,62.2
199901,44.6
199902,47.2
199903,49.2
199904,51.5
199905,54.8
199906,58.3
199907,61.4
199908,63.5
199909,65
199910,65.4
199911,64.6
199912,63.1
200001,50
200002,51.8
200003,53.3
200004,56
200005,58.9
200006,62.4
200007,64.7
200008,66.8
200009,67.6
200010,67.2
200011,65.6
200012,64.1
200101,46
200102,47.3
200103,51
200104,52.9
200105,57.7
200106,61.4
200107,64.2
200108,66.4
200109,67.6
200110,67.6
200111,66.6
200112,65
200201,44.9
200202,48.4
200203,50.6
200204,53.6
200205,56.8
200206,60.3
200207,63.7
200208,65.7
200209,66.9
200210,66.7
200211,65.8
200212,64.4
200301,50.4
200302,50.6
200303,53.1
200304,54.4
200305,57.4
200306,60.8
200307,64.5
200308,66.6
200309,68
200310,68.1
200311,66.7
200312,65.2
200401,46.4
200402,48.4
200403,53.1
200404,56.2
200405,59.1
200406,62.1
200407,65.1
200408,67.1
200409,68.1
200410,67.7
200411,66.2
200412,64.6
200501,47.3
200502,50.7
200503,53.1
200504,54.6
200505,57.6
200506,60.2
200507,64
200508,66.5
200509,67.3
200510,67.1
200511,66.2
200512,65
200601,48.5
200602,50.4
200603,50.2
200604,52.6
200605,56.4
200606,60.4
200607,64.3
200608,66.3
200609,67.3
200610,67
200611,65.9
200612,64.3
200701,43.6
200702,47.4
200703,51.6
200704,54.4
200705,57.8
200706,61.1
200707,64.3
200708,66.6
200709,67.3
200710,67
200711,66.1
200712,64.4
200801,46.8
200802,48.9
200803,51.5
200804,54
200805,57.2
200806,60.9
200807,64.1
200808,66.6
200809,67.8
200810,67.8
200811,66.8
200812,65
200901,47.5
200902,49.4
200903,51.6
200904,54.1
200905,58.3
200906,61.2
200907,64.6
200908,66.7
200909,68.1
200910,67.7
200911,66.4
200912,64.8
201001,48.5
201002,50.3
201003,51.9
201004,53.3
201005,55.7
201006,59.3
201007,62.7
201008,64.8
201009,66.1
201010,66.3
201011,65.1
201012,63.9
201101,46.4
201102,47.7
201103,50.2
201104,52.8
201105,55.2
201106,58.5
201107,61.8
201108,64.2
201109,65.9
201110,66.1
201111,64.9
201112,63.2
201201,48.5
201202,50.2
201203,52
201204,54.5
201205,57.9
201206,61
201207,64.1
201208,66.7
201209,68.2
201210,68.1
201211,67.1
201212,65.7
201301,45.8
201302,47.8
201303,52.1
201304,55.7
201305,58.9
201306,62.3
201307,65.7
201308,67.7
201309,68.7
201310,68.3
201311,67.3
201312,65.6
201401,51.9
201402,53.7
201403,56.2
201404,58.5
201405,61.4
201406,64.4
201407,67.5
201408,69.4
201409,70.5
201410,70.6
201411,69.4
201412,67.9
201501,49
201502,53
201503,56.7
201504,58.6
201505,60.6
201506,64.1
201507,66.8
201508,68.8
201509,69.9
201510,70
201511,68.4
201512,66.5
201601,50
201602,52.8
201603,54.7
201604,57.4
201605,60.2
201606,63.6
201607,66.5
201608,68.5
201609,69.4
201610,69.1
201611,68
201612,66.3
201701,48.1
201702,51
201703,53.6
201704,55.7
201705,58.8
201706,62.4
201707,65.8
201708,68.3
201709,69.2
201710,68.9
201711,67.9
201712,66.2
201801,52.6
201802,52.9
201803,54.2
201804,56.9
201805,59.7
201806,63
201807,66.6
201808,68.6
201809,69.7
201810,69.5
201811,68.4
201812,66.9
201901,52.5
201902,50.9
201903,53
201904,56.6
201905,58.6
201906,62.3
201907,65.4
201908,67.8
201909,68.9
201910,68.5
201911,67.6
201912,66.2
202001,49
202002,52
202003,53.5
202004,56.2
202005,59.6
202006,62.9
202007,66
202008,68.6
202009,69.8
202010,70
202011,68.6
202012,67
202101,50.4
202102,52.3
202103,53.6
202104,56.7
202105,60
202106,63.8
202107,67.3
202108,69.6
202109,70.7
202110,70.1
202111,69
202112,67.2
202201,50.1
202202,51.9
202203,54.8
202204,57.2
202205,60.1
202206,63.6
202207,66.7
202208,69.2
202209,70.7
202210,70.7
202211,69
202212,67.2
202301,49.6
202302,49.2
202303,50.6
202304,53.9
202305,57.2
202306,60.2
202307,64
202308,66.5
202309,67.6
202310,67.7
202311,66.8
202312,65.7
202401,51.5
202402,52.8
202403,54.5
202404,56.6
202405,59.6
202406,63.4
202407,67.2
202408,69.3
202409,70.5
202410,70.7
202411,69.2
202412,67.7
202501,49.2
202502,52
202503,53.4
202504,55.9